city,pop_2018_est,place,city_y,area_land,place_type,pop_density,mh_spaces
Albany,19758,00674,Albany,1.79,Albany city,11037.99,
Lynwood,71022,44574,Lynwood,4.84,Lynwood city,14673.97,35.0
Fairview,10299,23350,Fairview,2.75,Fairview CDP,3745.09,
San Lorenzo,25388,68112,San Lorenzo,2.78,San Lorenzo CDP,9132.37,
Wofford Heights,1973,86174,Wofford Heights,6.4,Wofford Heights CDP,308.28,224.0
East Hemet,20679,20697,East Hemet,5.2,East Hemet CDP,3976.73,
Homeland,7326,34316,Homeland,4.27,Homeland CDP,1715.69,
Valle Vista,16879,81708,Valle Vista,6.87,Valle Vista CDP,2456.91,
Bay Point,25165,04415,Bay Point,6.45,Bay Point CDP,3901.55,728.0
Crockett,3094,17274,Crockett,1.06,Crockett CDP,2918.87,
El Cerrito,25203,21796,El Cerrito,3.66,El Cerrito city,6886.07,
Pinole,19264,57288,Pinole,5.1,Pinole city,3777.25,
Rollingwood,3110,62700,Rollingwood,0.17,Rollingwood CDP,18294.12,
Ojai,7555,53476,Ojai,4.35,Ojai city,1736.78,860.0
Port Hueneme,22215,58296,Port Hueneme,4.43,Port Hueneme city,5014.67,
Santa Paula,30258,70042,Santa Paula,4.54,Santa Paula city,6664.76,775.0
Inverness,1127,36616,Inverness,6.4,Inverness CDP,176.09,
Point Reyes Station,290,57960,Point Reyes Station,3.62,Point Reyes Station CDP,80.11,
Lake Almanor West,126,39425,Lake Almanor West,2.29,Lake Almanor West CDP,55.02,
Portola,1912,58352,Portola,5.41,Portola city,353.42,128.0
Storrie,0,75168,Storrie,0.08,Storrie CDP,0.0,
Twain,33,80952,Twain,7.19,Twain CDP,4.59,20.0
Livingston,13997,42006,Livingston,3.67,Livingston city,3813.9,114.0
East Palo Alto,29633,20956,East Palo Alto,2.52,East Palo Alto city,11759.13,146.0
Redwood City,85217,60102,Redwood City,19.27,Redwood City city,4422.26,834.0
San Bruno,43114,65028,San Bruno,5.47,San Bruno city,7881.9,
Lafayette,26060,39122,Lafayette,15.05,Lafayette city,1731.56,
Avalon,3763,03274,Avalon,2.88,Avalon city,1306.6,17.0
Woodland,59044,86328,Woodland,15.31,Woodland city,3856.56,617.0
Acton,7185,00212,Acton,39.26,Acton CDP,183.01,225.0
Arcadia,58207,02462,Arcadia,10.92,Arcadia city,5330.31,
Bell,35809,04870,Bell,2.5,Bell city,14323.6,80.0
Carson,92517,11530,Carson,18.72,Carson city,4942.15,2238.0
Compton,97301,15044,Compton,10.03,Compton city,9701.0,1769.0
